"product_id","product_name","brand_name"
"07891991014915","Refrigerante guaraná antarctica 200ml","Antarctica"
"27897123881039","Água mineral sem gás prata 300ml","Prata"
"67896100501845","Suco de uva orgânico aliança 1 litro","Aliança"
"17898080640618","Leite uht integral italac 1 litro","Italac"
"27891097001035","Leite uht semidesnatado parmalat garrafa 1 litro","Parmalat"
"17896333041281","Água mineral sem gás tutti giorni blu 500ml","Tutti giorni blu"
"17891991301128","Bebida skol beats gin & tônica long neck 269ml","Skol beats"
"17894900504009","Isotônico mix de frutas pro powerade 500ml","Powerade"
"07891991302418","Bebida skol beats senses long neck 269ml","Skol beats"
"07891991307246","Bebida skol beats red mix long neck 269ml","Skol beats"
"07896045506477","Cerveja americana blue moon belgian white lata 350ml","Blue moon"
"17896062801224","Água mineral sem gás são lourenço 300ml","São lourenço"
"07896045506606","Cerveja heineken lata 269ml","Heineken"
"07897123882032","Água mineral com gás prata 300ml","Prata"
"17896045504494","Cerveja sol long neck 330ml","Sol"
"07898968753297","Salame tipo hamburguês gran nero 100g","Gran nero"
"07896715606582","Gema de ovos pasteurizada resfriada líquida naturovos 1kg","Naturovos"
"07891035024931","Multi-inseticida automático sbp aparelho + refil 250ml","Sbp"
"07899452032126","Lâmpada led 12w 1050 lumens branca avant","Avant"
"07891991306430","Cerveja stella artois pure gold sem glúten lata 473ml 12 un","Stella artois"
"07891150104266","Lava roupas líquido omo ciclo rápido ação cuidado 750ml","Omo"
"07891136065208","Aperitivo cynar 900ml","Cynar"
"07896020694717","Garrafa térmica de pressão farroupilha bege 1402 mor 1,9 litros","Mor"
"07500435187886","Shampoo anticaspa head & shoulders men old spice 400ml","Head & shoulders"
"07898206502250","Chia em grãos orgânica native 180g","Native"
"07896041172706","Mostarda oderich 190g","Oderich"
"07896324275155","Biscoito salgado parmesão com gergelim sem glúten mosmann 60g","Mosmann"
"07898921567121","Batata palito pré-frita tradicional congelada bem brasil 2kg","Bem brasil"
"07896333041383","Conjunto com 2 toalhas de papel em rolo folha dupla linea utilo 22x19,5cm 50 folhas","Linea utilo"
"07891356121784","Smart tv led 50"" led uhd 4k philco roku ptv50va4regb","Philco"
"07896018700659","Toalhas umedecidas huggies max clean 48 unidades","Huggies"
"00040232847967","Adoçante em pó xylitol essential nutrition 300g","Essential nutrition"
"07898292634934","Hambúrguer bovino resfriado zaffari 300g","Zaffari"
"07891089447939","Azeitona verde sem caroço la violetera 120g","La violetera"
"00070847022015","Energético monster energy lata 473ml 6 un","Monster energy"
